Klient_id_klienta,Obszar_id_obszaru,Czas_id_czasu,Atrakcja_id_atrakcji,ilosc,cena,Platnosc_id_platnosc
10,1,27,13,5,81,1
1458,3,4,5,3,116,2
2608,3,1,7,2,141,1
2597,3,6,10,4,76,2
693,1,25,4,4,60,2
2538,2,17,3,2,139,1
1215,2,17,7,2,205,1
2533,1,2,12,3,279,1
1672,3,7,4,1,77,1
2526,1,2,15,2,278,1
893,2,8,16,1,291,1
522,2,6,6,3,242,1
2841,3,15,5,1,217,1
2841,2,28,6,2,269,2
751,2,15,2,4,74,2
1806,3,23,7,5,212,1
102,1,27,8,2,264,2
1524,2,20,1,2,228,1
320,2,20,13,1,272,2
507,3,8,13,4,256,1
66,3,26,4,1,274,2
967,1,25,14,1,210,2
2696,3,3,8,3,83,1
1243,1,20,14,4,154,2
977,2,22,13,1,178,1
2639,3,24,4,5,148,2
984,3,28,2,2,79,1
2551,1,9,4,4,259,2
1784,1,11,4,3,43,2
1186,1,3,16,1,99,1
144,1,9,10,4,222,1
873,3,25,9,2,190,1
1469,2,18,7,4,267,1
1759,2,30,7,2,242,2
2087,3,3,2,5,97,2
2526,1,18,15,1,170,1
1527,2,21,3,3,170,2
2137,2,18,7,2,228,1
2619,1,7,6,5,71,2
2558,3,14,6,2,211,2
1220,3,16,9,2,294,1
2626,1,7,15,2,37,2
1021,2,21,9,3,121,2
2076,2,16,4,2,221,2
2487,1,25,2,5,99,1
1606,1,26,1,4,133,2
88,1,14,11,1,195,2
737,3,25,14,2,213,2
1793,3,11,16,2,143,1
98,2,25,7,4,212,2
1151,3,16,13,5,292,2
1132,1,17,4,1,68,2
1530,1,9,9,3,189,2
316,2,1,8,5,286,2
1795,2,8,6,5,220,2
2708,1,2,7,4,43,1
2740,3,23,3,2,154,2
1179,2,28,4,1,264,1
991,2,9,16,1,209,2
1403,1,27,3,3,224,2
2186,1,5,14,3,223,1
2160,1,10,11,3,157,1
205,2,6,14,5,187,2
2361,3,12,12,2,149,1
1413,3,1,14,4,277,2
962,3,10,9,1,53,2
622,3,10,9,1,184,1
2935,3,10,10,1,39,2
1325,3,6,3,2,231,1
1265,1,26,12,3,176,2
1740,3,10,12,3,289,2
2406,1,5,4,5,42,1
450,3,8,10,5,225,2
5,1,12,14,2,127,2
2052,2,24,11,1,205,1
2582,1,28,11,1,127,2
2043,1,29,7,4,234,1
1785,2,5,11,5,264,2
2165,3,25,3,4,244,1
1848,2,17,14,2,55,1
2055,2,29,13,2,94,1
313,2,14,11,4,168,1
2575,2,29,4,4,251,1
315,1,15,8,3,170,1
1955,2,18,5,4,295,2
795,1,27,8,4,99,2
1429,2,16,16,2,37,2
2213,2,19,10,2,70,2
738,2,11,13,4,98,1
90,3,11,16,3,78,2
1367,1,23,3,3,170,2
2226,3,15,5,3,113,2
2397,3,21,7,5,118,1
2111,2,20,15,1,74,1
1364,1,2,13,5,74,1
1551,3,14,12,4,287,2
1528,3,16,4,5,175,1
2830,2,17,12,5,185,2
1655,1,8,9,2,79,1
2371,2,17,11,1,200,1
264,1,21,4,2,169,1
2024,1,21,1,4,88,2
1605,2,2,1,3,173,2
2302,1,5,5,4,88,2
1304,3,18,13,5,286,2
1222,3,15,8,1,180,2
2825,2,16,12,5,239,1
2786,2,20,9,1,115,1
76,2,28,10,2,158,1
545,1,8,12,2,207,1
1838,2,16,9,5,53,2
1945,2,17,13,3,155,2
1468,3,8,13,4,174,1
1092,2,26,13,1,201,2
1398,1,1,12,1,64,1
2768,1,1,3,2,163,1
2602,2,25,14,1,228,2
457,1,28,11,1,231,1
2997,2,24,15,3,47,1
1197,2,4,6,2,81,2
2497,1,21,7,1,31,1
517,1,27,2,5,48,1
756,1,2,1,2,48,2
1345,1,8,13,3,82,1
2563,3,17,11,3,63,1
2322,1,7,2,4,233,2
1806,3,25,9,5,264,1
1324,1,10,16,1,203,1
2923,2,19,10,5,37,1
1094,2,12,6,5,298,1
2555,3,28,11,2,56,2
1141,2,7,7,2,116,1
1967,1,22,7,3,282,2
2418,2,15,15,4,167,1
1541,2,6,1,5,210,2
625,2,10,13,3,175,2
48,2,6,8,4,274,2
408,3,29,8,1,213,1
691,2,22,10,3,194,2
2974,1,12,8,4,252,1
2471,2,19,15,2,85,2
611,1,14,1,4,172,1
2280,1,18,14,5,176,2
2839,2,7,16,5,226,1
1088,3,1,1,1,100,1
761,1,16,11,3,98,1
497,1,18,16,1,161,1
2348,3,20,11,2,156,2
2447,2,30,8,3,236,2
1439,2,29,9,2,47,2
2797,1,5,9,2,286,2
999,2,30,14,2,243,2
88,2,12,13,4,147,1
2774,2,6,16,3,80,2
2548,2,14,14,3,225,2
2106,2,5,16,3,56,1
2256,1,19,4,5,100,1
71,2,22,8,4,48,1
1601,3,16,13,4,55,1
111,2,2,14,1,227,1
2718,1,25,5,2,287,1
1606,2,23,9,5,93,2
111,3,11,13,4,257,1
1587,2,6,13,1,299,2
1479,2,13,15,3,63,1
965,3,7,5,1,255,2
1146,3,9,14,5,207,1
2323,3,1,7,5,72,1
1894,2,16,6,5,153,1
2973,1,19,7,1,221,2
2486,1,15,9,1,75,1
2548,3,28,3,2,223,2
2666,2,15,11,5,229,2
868,3,29,3,2,288,1
1311,3,14,12,5,106,2
1675,2,27,15,5,92,2
2145,2,6,10,4,117,1
2800,1,23,3,5,36,2
1368,2,12,11,2,234,1
689,2,12,7,3,238,1
2619,2,23,16,3,275,2
222,3,17,11,4,107,2
1688,3,19,16,2,139,1
2948,2,8,13,3,129,1
423,3,7,5,3,238,1
1462,3,6,8,1,290,1
2346,3,30,10,3,275,2
2312,3,13,3,2,91,2
420,2,7,1,3,53,2
2876,1,10,2,3,149,1
2129,2,16,3,3,224,1
1946,1,6,1,3,251,1
29,3,5,3,3,75,1
1410,3,13,10,5,151,2
1537,3,16,16,3,189,1
1089,3,1,15,3,216,1
793,1,1,2,2,182,2
1551,1,27,16,2,226,1
1376,1,17,10,2,131,1
1731,3,2,16,2,113,2
2755,1,8,1,3,261,1
2893,2,16,10,5,265,2
1486,2,30,4,5,251,2
2366,2,11,4,2,125,2
941,3,3,1,2,111,2
193,2,29,13,5,39,1
2129,1,29,7,3,68,1
259,1,25,6,3,230,1
1960,3,25,3,3,170,2
1250,2,17,11,3,137,1
2922,1,12,16,4,140,1
1192,2,26,13,2,193,1
2689,1,21,13,3,156,1
2190,1,19,6,3,257,1
1944,2,23,15,4,205,1
114,2,12,12,2,43,1
1503,3,11,5,5,144,2
407,3,26,1,5,35,1
2709,3,19,5,3,242,2
26,1,27,8,5,61,2
2631,1,2,4,3,71,1
560,1,3,10,3,238,2
1520,3,28,14,4,264,1
1898,3,13,13,2,166,1
2569,2,25,16,2,208,1
1740,3,24,9,5,34,2
1504,2,21,3,1,94,2
609,3,20,6,2,225,1
1670,2,14,3,4,228,1
2369,1,20,2,1,98,2
279,1,10,13,5,142,1
626,3,19,5,2,297,2
1575,1,19,1,5,33,1
486,1,11,4,2,134,2
833,1,2,15,5,185,1
2441,2,17,7,2,60,1
2628,3,28,7,4,212,1
301,1,2,3,2,273,2
2469,3,17,10,1,143,2
2206,2,11,5,3,176,2
2444,1,21,11,5,212,1
1424,2,26,9,4,150,1
41,3,22,12,4,78,2
1191,1,25,5,4,142,1
773,2,3,6,1,179,1
2818,2,17,6,2,204,1
1502,3,2,6,5,233,2
1810,2,17,12,2,224,1
174,3,11,4,2,69,1
2686,3,7,10,5,270,1
1795,1,13,8,3,203,2
914,3,29,12,4,143,2
2805,2,18,13,5,264,2
1608,1,4,16,3,65,2
2893,3,23,2,5,204,1
1297,1,9,14,1,170,2
215,2,15,10,4,181,2
587,2,25,1,1,81,1
18,1,15,1,3,108,1
2810,1,20,13,4,205,2
1227,1,29,13,2,64,1
2321,2,12,13,3,204,2
675,3,1,14,3,284,1
2609,3,24,10,2,141,1
613,3,24,16,5,153,2
976,3,10,11,1,191,1
1869,1,8,16,4,184,2
789,2,29,6,4,50,2
1407,1,6,2,4,119,2
2418,2,25,11,1,295,2
224,3,5,7,2,82,1
2148,2,19,10,5,144,2
643,3,20,4,2,96,2
2175,1,17,6,2,208,2
1581,2,9,8,3,249,1
2754,3,28,6,5,109,2
1805,2,17,14,5,199,2
2240,1,14,13,4,41,1
1764,2,2,2,3,145,1
310,2,4,5,4,233,1
76,3,26,9,5,57,1
1681,1,15,6,1,90,2
761,3,20,14,4,256,1
628,3,9,6,5,182,1
663,2,19,5,5,109,2
1412,2,10,13,5,90,1
1706,2,22,8,2,140,2
1504,2,12,14,5,290,2
2485,2,5,2,3,198,1
1849,3,2,3,5,45,2
711,2,3,14,4,111,2
959,2,26,11,1,205,2
2833,1,14,16,2,274,2
112,1,21,7,4,215,2
2120,2,11,5,2,47,1
352,1,1,5,4,77,2
2996,1,13,7,5,197,2
1914,2,6,10,1,68,1
593,2,13,1,4,215,2
2737,2,12,13,3,152,2
2679,2,20,11,4,65,1
2549,1,1,10,1,105,1
126,1,21,4,5,47,2
2828,2,9,1,3,271,1
2387,1,18,7,1,258,2
517,2,28,7,1,73,1
380,2,12,9,3,176,2
1081,3,19,11,2,274,2
2555,2,19,4,2,287,1
627,2,7,15,3,117,2
1848,3,24,15,5,184,2
526,3,16,2,2,88,1
1016,3,23,13,5,244,1
461,1,6,13,2,109,2
2929,1,20,16,2,30,2
2901,3,23,8,2,66,2
1445,1,5,15,4,196,2
1386,2,4,8,3,178,1
1287,2,5,12,2,272,1
2207,3,4,3,2,216,1
427,3,9,10,4,203,2
586,1,27,8,4,42,2
2003,2,15,12,3,106,2
703,2,24,1,2,158,2
789,1,23,9,5,164,1
1483,3,27,14,5,243,1
1749,1,7,10,5,214,1
1011,2,14,13,3,254,2
1220,2,17,7,1,280,2
2868,1,29,12,3,82,1
2037,2,25,9,3,112,2
987,2,14,7,4,212,2
1275,1,23,9,4,141,1
1038,2,14,12,5,111,2
399,1,26,5,3,271,2
164,2,7,15,3,99,1
2756,1,2,6,2,31,2
2441,1,7,15,4,53,1
681,2,25,11,1,36,1
917,2,3,5,4,102,1
2100,2,19,3,1,32,1
783,2,11,10,2,55,1
235,2,13,12,5,117,2
705,2,9,9,2,268,2
1472,3,3,8,4,73,1
1939,2,23,11,1,274,2
2938,2,1,12,5,266,1
2924,2,18,16,5,176,1
410,1,19,15,1,249,2
1326,1,5,9,5,85,1
2983,3,3,12,3,262,1
2897,1,25,5,1,134,2
892,2,15,13,4,205,2
963,1,22,16,1,82,2
440,3,5,16,4,244,2
2963,2,8,9,4,86,1
89,3,19,2,3,98,1
2468,2,23,6,3,278,2
1621,2,24,6,4,223,2
1256,3,10,6,3,174,1
2859,1,9,15,3,121,1
1020,1,25,11,5,136,1
610,2,21,2,5,112,1
451,2,6,1,3,124,2
380,1,24,14,4,255,2
1218,2,12,2,3,133,1
834,3,20,12,2,163,1
841,2,7,12,2,262,2
2393,1,28,16,5,213,1
2363,1,25,4,3,152,2
2680,1,30,5,5,96,2
1475,2,9,3,5,136,2
1999,2,4,8,5,48,2
1273,2,6,10,4,296,1
2789,3,15,13,1,142,1
1041,1,13,5,4,281,1
1594,2,24,3,2,129,1
1379,3,22,10,2,81,1
2470,3,21,4,2,133,2
2113,3,13,14,5,154,1
1059,3,6,6,1,111,2
2535,2,14,7,4,129,1
377,3,6,11,2,277,2
1178,3,3,6,3,230,2
2481,2,10,5,5,246,1
44,2,7,5,5,185,2
1310,1,25,11,1,54,2
86,1,5,12,3,244,2
2892,1,1,10,3,47,1
34,1,4,12,3,128,1
655,3,13,6,2,177,2
1483,1,22,9,4,96,2
484,1,17,6,1,69,1
1342,1,20,6,3,289,1
277,3,28,8,4,156,2
786,3,13,4,2,31,1
2462,1,2,15,5,89,2
2946,2,11,9,2,46,2
2204,3,1,14,3,173,1
1765,3,3,15,4,296,2
1222,1,5,13,1,186,2
2793,2,13,12,4,185,1
415,2,27,9,3,40,2
29,2,12,11,3,48,1
1515,3,30,1,2,286,2
1210,1,25,2,3,68,2
412,2,5,14,5,108,1
611,1,13,6,5,130,1
2273,3,3,11,3,136,1
1917,2,20,9,4,174,2
1205,1,14,15,5,225,2
2398,1,25,9,4,241,1
2301,2,20,5,3,77,2
1149,3,13,16,4,131,1
471,2,10,6,4,223,2
357,3,14,1,4,171,2
1709,1,5,12,4,63,2
2592,3,7,1,2,54,1
1094,1,29,3,2,131,2
2226,2,6,1,1,164,2
1791,1,7,15,4,215,2
1354,1,7,3,2,198,1
1491,1,9,7,4,241,2
2841,2,28,5,1,115,2
2326,3,22,9,4,90,1
2310,1,4,12,3,85,2
2312,3,1,2,4,124,1
1157,3,19,8,4,271,2
2200,1,19,8,2,296,2
888,2,18,11,3,36,2
306,1,21,4,3,257,1
2267,3,7,7,5,187,1
176,1,4,15,2,196,1
2059,2,7,1,2,94,1
654,2,14,6,2,169,1
2206,3,7,3,1,157,2
1237,2,3,7,3,107,1
1243,2,22,2,3,216,1
2034,2,6,6,4,219,2
1474,3,2,11,1,58,1
503,3,24,5,1,46,1
220,1,19,14,5,94,2
2762,3,9,15,5,264,1
1338,1,24,8,4,148,2
2017,1,23,6,1,276,1
1827,3,24,5,4,68,2
1121,2,17,11,3,228,2
2988,3,22,4,2,101,2
2563,3,25,6,4,125,1
206,3,15,13,2,180,1
2407,2,20,4,4,152,1
1389,1,24,5,4,124,2
782,1,4,16,4,171,2
2858,3,27,1,4,85,1
2111,1,27,3,1,99,1
901,1,2,9,5,205,1
2270,1,2,15,1,225,2
2467,2,25,11,1,180,2
1545,3,6,15,2,237,2
510,3,5,9,1,160,2
2903,1,13,14,5,128,1
2801,3,3,13,3,164,2
2079,1,15,3,4,122,2
927,3,18,10,5,200,2
355,3,12,15,2,258,2
929,2,26,3,1,206,2
2818,1,5,13,2,267,1
2576,3,12,7,1,77,2
630,3,9,16,4,194,2
2765,3,27,4,4,37,1
1978,2,30,9,4,85,1
2295,2,24,10,4,59,1
616,1,16,2,4,82,1
1614,2,5,8,1,236,1
1133,1,16,10,5,55,1
199,2,27,8,5,108,1
1303,2,12,16,3,180,2
2120,2,5,16,5,106,1
195,3,2,11,3,125,1
449,1,30,15,1,46,1
1836,2,20,12,5,206,1
265,3,15,9,2,111,2
2750,2,20,1,5,51,1
1686,3,25,9,5,45,1
647,2,3,8,3,186,1
2160,2,9,15,4,34,2
161,2,4,4,1,223,1
2590,2,27,4,5,67,1
2399,3,6,16,3,251,2
1144,2,2,12,4,185,1
2757,2,3,3,1,36,2
832,3,10,15,2,43,1
155,1,9,9,3,41,2
1878,1,29,1,1,58,2
448,1,16,6,1,39,2
2916,3,1,15,1,176,2
460,3,3,5,4,170,1
655,3,6,5,3,104,1
801,1,5,14,5,255,1
1979,3,17,4,1,140,1
1221,1,18,6,3,137,1
716,3,24,7,3,122,2
764,1,2,10,4,205,2
1935,3,2,4,4,136,1
232,2,2,13,1,97,2
1607,2,29,1,5,251,1
803,2,13,6,3,83,1
1417,2,18,5,4,131,2
1118,2,5,13,1,294,1
1045,3,21,8,1,62,2
2134,1,18,15,5,212,1
1512,2,26,4,1,53,2
39,2,15,6,5,43,1
205,3,7,14,5,264,2
1959,3,26,7,1,215,2
1259,1,12,15,4,133,2
2736,1,18,13,5,180,1
774,1,4,4,1,180,2
825,2,1,16,5,153,2
2610,3,25,2,3,257,2
1344,1,13,3,4,109,1
1606,2,3,16,2,187,1
1718,3,6,1,1,61,1
2007,2,29,15,5,34,1
877,3,21,8,4,230,2
178,3,2,7,2,161,2
2091,3,2,8,5,153,1
721,2,4,5,4,151,2
2268,2,9,12,2,60,1
2623,2,14,10,5,187,2
193,1,19,14,4,139,2
1283,3,12,1,3,230,1
446,2,7,16,2,38,1
567,3,21,16,2,164,2
1671,2,28,1,5,241,1
1432,2,13,2,1,247,1
1805,3,21,12,2,81,2
2423,1,19,9,3,86,2
1205,3,27,5,5,70,2
951,2,1,12,5,266,2
192,3,27,5,2,293,2
2529,3,9,1,2,56,2
994,1,15,6,3,111,1
1725,2,26,3,4,153,1
1248,2,1,7,2,44,2
1299,3,9,6,2,107,2
2861,2,8,10,1,62,2
592,2,12,7,3,190,1
887,1,4,10,3,111,1
948,1,18,16,1,31,2
1711,1,30,6,1,169,2
2706,2,16,10,2,110,1
393,2,1,12,3,98,1
1994,1,23,12,5,65,2
1110,2,19,1,1,53,2
1035,2,2,9,1,264,1
1415,2,29,3,1,86,1
1788,2,8,10,4,235,2
36,1,19,1,2,295,2
2768,3,18,4,2,189,2
789,3,6,7,2,230,1
1772,3,17,16,5,152,2
268,2,13,6,2,224,1
486,2,17,12,5,262,2
2010,2,29,13,4,137,1
1787,1,7,6,1,222,1
1272,1,2,8,3,234,2
1660,1,26,15,5,152,1
1642,2,21,9,5,203,2
1300,2,6,5,1,149,1
877,1,1,5,1,276,2
1040,2,7,6,1,223,1
606,1,28,12,5,92,1
1288,2,26,3,1,165,2
1508,3,5,8,2,121,1
2815,3,18,14,3,128,1
448,2,5,13,5,247,1
1422,1,17,2,2,150,2
2142,1,6,16,3,231,2
1932,1,27,13,2,260,1
759,1,27,7,5,258,1
166,3,11,3,4,235,1
1676,2,12,2,5,137,1
2131,2,28,3,4,126,2
1152,1,30,9,5,291,1
2894,3,22,6,3,187,2
1279,3,25,12,5,250,1
1427,2,21,8,3,40,2
2768,3,9,5,3,239,2
1349,2,18,12,4,247,2
2783,2,24,5,5,182,1
1745,1,13,11,3,143,2
2256,1,3,8,5,213,1
2106,2,3,2,5,296,2
1389,1,30,4,1,162,2
2549,3,6,11,3,99,1
2554,3,19,16,2,236,2
116,2,8,14,1,179,1
713,3,6,1,3,113,1
2701,2,13,9,5,127,2
1238,3,26,8,3,219,2
1688,2,5,8,2,105,1
2117,3,11,15,5,117,2
675,3,20,15,5,89,2
1253,1,13,7,3,244,2
1850,2,13,12,5,131,2
658,1,17,6,1,217,1
2207,1,20,16,1,108,1
2715,1,17,8,3,272,1
812,3,1,14,3,245,1
906,3,6,2,5,283,1
2861,1,17,15,3,234,2
281,3,14,6,3,148,2
580,3,8,6,3,173,2
884,2,16,9,5,58,1
517,2,27,2,2,79,2
408,1,17,16,1,155,1
2932,2,14,16,2,131,1
238,3,22,8,3,45,2
1647,1,12,11,4,96,2
848,2,9,3,2,235,1
2489,3,13,6,1,238,1
2831,1,18,9,4,117,1
1633,1,19,16,1,108,2
22,1,10,8,2,98,2
141,1,25,2,4,43,1
744,1,5,6,2,122,2
2809,3,3,15,5,253,2
1068,2,7,3,3,157,2
1549,1,26,14,3,197,2
2669,3,13,2,2,257,1
2662,2,19,14,5,295,1
1088,1,18,5,3,288,2
1593,2,30,3,3,145,2
584,1,15,13,4,221,1
197,2,25,11,5,149,1
518,2,9,9,3,233,1
2630,1,17,2,4,85,1
388,2,29,12,3,182,2
546,1,3,4,2,36,1
1687,3,20,8,3,90,1
27,3,19,2,4,186,1
86,3,21,1,3,215,2
604,3,29,10,5,239,2
1473,1,9,4,4,261,1
1542,3,20,3,5,299,1
2338,1,19,12,5,131,1
554,2,6,13,2,127,1
2715,3,27,11,3,129,2
1388,2,27,16,4,30,2
44,1,28,9,4,250,1
1559,2,25,15,3,256,1
2478,1,14,7,3,287,2
685,3,16,9,4,192,1
2978,3,24,5,2,202,1
1083,1,8,11,3,283,1
995,1,23,1,3,87,2
665,2,17,4,1,274,2
775,2,30,1,2,58,2
1894,1,19,1,1,66,1
